name,id topology,lambda,approximate depth ,precise depth,SumBranch Lengths,Mean Branchlengths,
norm0.1randtree_10_0.3_.tree.fasta,10,0.3,0.1,0.11094286,41.51742741,0.041558986,
norm0.1randtree_10_0.6_.tree.fasta,10,0.6,0.1,0.110942859,27.56342507,0.027591016,
norm0.1randtree_10_0.8_.tree.fasta,10,0.8,0.1,0.110942859,18.26075684,0.018279036,
norm0.1randtree_10_0_.tree.fasta,10,0,0.1,0.110942859,55.47142975,0.055526957,
norm0.1randtree_10_1_.tree.fasta,10,1,0.1,0.110942859,8.958088617,0.008967056,
norm0.1randtree_1_0.3_.tree.fasta,1,0.3,0.1,0.107749833,39.75944766,0.039799247,
norm0.1randtree_1_0.6_.tree.fasta,1,0.6,0.1,0.107749832,25.64397909,0.025669649,
norm0.1randtree_1_0.8_.tree.fasta,1,0.8,0.1,0.107749832,16.23366671,0.016249917,
norm0.1randtree_1_0_.tree.fasta,1,0,0.1,0.107749832,53.87491625,0.053928845,
norm0.1randtree_1_1_.tree.fasta,1,1,0.1,0.107749832,6.823354322,0.006830185,
norm0.1randtree_2_0.3_.tree.fasta,2,0.3,0.1,0.116867771,43.61251418,0.04365617,
norm0.1randtree_2_0.6_.tree.fasta,2,0.6,0.1,0.116867771,28.79114296,0.028819963,
norm0.1randtree_2_0.8_.tree.fasta,2,0.8,0.1,0.116867771,18.91022881,0.018929158,
norm0.1randtree_2_0_.tree.fasta,2,0,0.1,0.116867771,58.4338854,0.058492378,
norm0.1randtree_2_1_.tree.fasta,2,1,0.1,0.116867771,9.029314667,0.009038353,
norm0.1randtree_3_0.3_.tree.fasta,3,0.3,0.1,0.09521378,35.38060964,0.035416026,
norm0.1randtree_3_0.6_.tree.fasta,3,0.6,0.1,0.09521378,23.15432951,0.023177507,
norm0.1randtree_3_0.8_.tree.fasta,3,0.8,0.1,0.09521378,15.00347609,0.015018495,
norm0.1randtree_3_0_.tree.fasta,3,0,0.1,0.09521378,47.60688977,0.047654544,
norm0.1randtree_3_1_.tree.fasta,3,1,0.1,0.09521378,6.852622673,0.006859482,
norm0.1randtree_4_0.3_.tree.fasta,4,0.3,0.1,0.112356024,42.0827019,0.042124827,
norm0.1randtree_4_0.6_.tree.fasta,4,0.6,0.1,0.112356024,27.98739168,0.028015407,
norm0.1randtree_4_0.8_.tree.fasta,4,0.8,0.1,0.112356024,18.59051821,0.018609127,
norm0.1randtree_4_0_.tree.fasta,4,0,0.1,0.112356024,56.1780121,0.056234246,
norm0.1randtree_4_1_.tree.fasta,4,1,0.1,0.112356024,9.193644729,0.009202848,
norm0.1randtree_5_0.3_.tree.fasta,5,0.3,0.1,0.111900445,42.7173829,0.042760143,
norm0.1randtree_5_0.6_.tree.fasta,5,0.6,0.1,0.111900445,29.48454333,0.029514057,
norm0.1randtree_5_0.8_.tree.fasta,5,0.8,0.1,0.111900445,20.66265028,0.020683334,
norm0.1randtree_5_0_.tree.fasta,5,0,0.1,0.111900445,55.9502225,0.056006229,
norm0.1randtree_5_1_.tree.fasta,5,1,0.1,0.111900445,11.84075723,0.01185261,
norm0.1randtree_6_0.3_.tree.fasta,6,0.3,0.1,0.105244842,39.5877541,0.039627381,
norm0.1randtree_6_0.6_.tree.fasta,6,0.6,0.1,0.105244842,26.5530873,0.026579667,
norm0.1randtree_6_0.8_.tree.fasta,6,0.8,0.1,0.105244842,17.86330944,0.017881191,
norm0.1randtree_6_0_.tree.fasta,6,0,0.1,0.105244842,52.6224209,0.052675096,
norm0.1randtree_6_1_.tree.fasta,6,1,0.1,0.105244842,9.17353158,0.009182714,
norm0.1randtree_7_0.3_.tree.fasta,7,0.3,0.1,0.109874752,41.19912653,0.041240367,
norm0.1randtree_7_0.6_.tree.fasta,7,0.6,0.1,0.109874752,27.46087722,0.027488366,
norm0.1randtree_7_0.8_.tree.fasta,7,0.8,0.1,0.109874752,18.30204434,0.018320365,
norm0.1randtree_7_0_.tree.fasta,7,0,0.1,0.109874752,54.93737585,0.054992368,
norm0.1randtree_7_1_.tree.fasta,7,1,0.1,0.109874752,9.14321146,0.009152364,
norm0.1randtree_8_0.3_.tree.fasta,8,0.3,0.1,0.116010447,44.30978073,0.044354135,
norm0.1randtree_8_0.6_.tree.fasta,8,0.6,0.1,0.116010447,30.61433811,0.030644983,
norm0.1randtree_8_0.8_.tree.fasta,8,0.8,0.1,0.116010447,21.48404302,0.021505549,
norm0.1randtree_8_0_.tree.fasta,8,0,0.1,0.116010447,58.00522335,0.058063287,
norm0.1randtree_8_1_.tree.fasta,8,1,0.1,0.116010447,12.35374794,0.012366114,
norm0.1randtree_9_0.3_.tree.fasta,9,0.3,0.1,0.094744799,35.70960767,0.035745353,
norm0.1randtree_9_0.6_.tree.fasta,9,0.6,0.1,0.094744799,24.04681602,0.024070887,
